EMPLEADO_ID,SUPERVISOR_ID,ES_TUTOR,ES_TITULAR,EDAD,AP_PATERNO,AP_MATERNO,CURP,NOMBRE,FECHA_NACIMIENTO,RFC,TELEFONO,VETERINARIA_ID
1,1,0,1,43,Boor,Quilter,MAOW328787HMNSQDY,Bianka,28/04/2024,UGUW113961YS0,0589386319,21
2,,1,0,6,Sanja,Honeyghan,BQFK267997HMVQLGR,Faith,26/08/2023,FUXY657949BQ7,4101053103,18
3,3,1,0,48,Strutt,Schleicher,LMNQ362354HMACVYP,Arvy,13/03/2024,DTWU323892HT8,4503428070,39
4,,1,0,38,Sumption,Python,LIIZ901780HMSAHZZ,Gordan,17/02/2024,NGDK448950OQ8,3683747353,34
5,,1,1,99,Broggio,Blunn,NBFV608211HMCVTEE,Trixie,15/02/2024,TDED353417BO9,8852337026,13
6,6,1,1,58,Rouchy,Sibery,SJCR892159HMJQJMT,Ginelle,30/06/2023,JGYT220707ME1,3409677131,36
7,,1,0,60,Narbett,Durrans,INZS019357HMQCXEK,Blanche,19/05/2024,BLSE619482LT0,9859085864,10
8,8,1,1,79,Aggas,Romans,NJMU871747HMSQMHU,Ric,06/01/2024,JVER199183HD0,0138207603,15
9,,0,1,83,Manginot,Brick,GFAT432479HMVTVTQ,Louise,27/02/2024,IRCE309775DH0,1702065620,0
10,,0,0,32,Alesi,De Vaux,TKGL984776HMRAOPF,Revkah,12/09/2023,CYJS747871XG2,0809975756,33
11,11,0,1,9,Broker,Stiles,AILU595220HMJACET,Corny,20/09/2023,SUYE993109QJ8,2904748433,4
12,,1,0,28,Kareman,Spearett,OIUI780045HMPWQVS,Serene,28/11/2023,NOJR175038CX5,6179031729,13
13,,0,0,47,Kneeland,Snoddin,UCRZ398974HMDDZRS,Corella,10/12/2023,SSZB270000LU0,2565146038,35
14,14,1,0,31,Moreside,Reignolds,GVTN043941HMWPCKS,Renato,17/12/2023,YNEA447286IX0,4094867427,29
15,,0,1,87,Crier,Fulmen,PGTT687653HMGQJXS,Thorvald,09/07/2023,ABSK266196FB6,4689534066,35
16,,0,1,83,Wollaston,Bayfield,KICN483735HMGAYKD,Sigvard,16/10/2023,FVLQ156223GM6,2918386759,36
17,,1,0,62,McCarter,McKimmie,MDDE272392HMDYHUN,Zorina,22/04/2024,YJKQ760110EW7,1159641930,2
18,,0,1,4,MacCook,Stede,QKVN323895HMIFLWZ,Stuart,13/12/2023,DIGV557170EV5,0384394270,13
19,19,0,1,33,Tohill,Acom,VGKP593949HMHEKMH,Alric,29/10/2023,WYIR044621RM7,2345670305,32
20,20,1,0,64,Carnihan,Licquorish,RSIP670463HMPFWAL,Ashla,19/09/2023,AXCZ806248MS1,5806831039,29
21,,1,0,23,Huckleby,Le Grand,LLVP455224HMAJJVC,Valentia,03/01/2024,ZRTQ598537QE1,1400260122,5
22,,1,1,11,Hars,Denizet,ECQV724138HMYSYWH,Ania,12/04/2024,TOVK513865OR4,3655695206,34
23,,1,0,65,Cescot,Newberry,PRNC019922HMLLUUZ,Kearney,21/07/2023,FCSQ917584XG9,7718841800,30
24,,1,1,11,Meatcher,Hancell,WBSK265664HMILBIP,Fae,12/05/2024,CTTP326459YF4,2713298154,31
25,,1,1,36,Fredi,Dionisii,UKRI667814HMSBPAW,Field,10/06/2023,FXEH450432EN6,2305786226,6
26,,0,1,58,Middleton,Tucknott,ZAHY787551HMBQNJO,Sibeal,02/07/2023,MUNY798118DX7,5756623101,31
27,,0,1,43,Botly,Vispo,ANER831199HMDMRAL,Jilleen,19/09/2023,GIOG410966ZY7,1214130647,6
28,,1,1,64,Sewter,Gauld,AKGM364222HMSZAAF,Dale,30/07/2023,FTRB382604QG4,5090130798,10
29,,1,0,11,Skakunas,McMychem,UWOB197182HMAWNHU,Miran,25/05/2024,OSDZ598844TX0,7276884492,23
30,,0,0,5,Rojahn,Clapshaw,LLRC753555HMSSDOZ,Urbano,03/02/2024,NOQH414782RA0,0483779073,16
31,,0,0,52,de Mendoza,Hiers,OYTK310614HMSREYZ,Rodger,28/02/2024,AVSE247828OB1,1178970624,37
32,,0,0,44,D'Alesio,MacLise,HDTW289182HMXYIFM,Meris,26/12/2023,IJXJ415930XC3,8488453498,30
33,,1,0,2,Bohling,Ends,EGRL475666HMACYWM,Kippie,08/05/2024,ZTDG778978PE9,8041695872,6
34,,0,0,14,Hayles,Carles,DFVW698976HMXWEIB,Liz,31/08/2023,MOVD761113DH5,6129708737,18
35,,0,0,54,Corsar,Minchella,OJPD038588HMFTHVU,Garvy,05/01/2024,SCKE351725AL6,3541552210,1
36,,0,0,34,Van Daalen,Burtt,VYSU352985HMHHUUI,Farlay,19/06/2023,YXCG508454IM3,6331255799,32
37,,1,0,43,Trevena,Petracco,DLCD667591HMASQLN,Herc,16/06/2023,MFDX483428RV4,3125456862,2
38,,0,0,55,Gosney,Thynne,KNRN714026HMOZMIE,Kara,16/07/2023,HGAM330114GB5,2463085925,18
39,39,0,0,36,Berrycloth,Stamps,EMNT122154HMJUYQC,Lacee,09/02/2024,YAVY978541LQ9,6585134153,6
40,,0,0,24,McGurgan,Skettles,ZADA697321HMMYMXX,Dorine,29/05/2024,JWXE696902ZJ6,0513415824,11
41,41,1,0,45,Messiter,Shmyr,PEIP336423HMDCGNA,Twyla,09/04/2024,GGXZ481389BJ1,1644235251,18
42,,0,0,10,Dagger,Challice,MUYA894210HMCMLLP,Shamus,11/07/2023,NTVU885147NI9,3778926990,32
43,,1,1,12,Twoohy,Boxhill,PGFD917053HMOEDDF,Jeno,18/03/2024,SSMW798192EY9,8803050403,25
44,44,0,1,79,Davidovich,Berthome,YBGI415317HMBIKYU,Jeniffer,07/01/2024,GBTS828408LA4,2349304909,29
45,45,1,1,97,Bovaird,Culwen,VHAJ282568HMZJIAS,Leela,29/05/2024,YJPI870641DS9,4702210513,35
46,,1,0,70,Jellard,Over,AWRT427807HMTTIVM,Amble,10/12/2023,BMRU532058EV9,8446180028,22
47,,0,1,50,Wincott,Richemont,MVQA334214HMHFQME,Nixie,07/04/2024,BRTN534788AE5,1220172322,22
48,,1,1,77,Wycliff,Tingle,TSCC492982HMUGFTL,Fabien,07/03/2024,RUKC859662PQ3,4776508771,34
49,,0,1,36,Hamerton,Wyd,VZVH244018HMANNZP,Isidora,17/05/2024,QMMA353399ND5,5432207742,26
50,,0,0,4,Klousner,Petricek,WPTH810727HMEDBMH,Giuseppe,27/03/2024,PQXD060473FZ1,6287179079,22
51,,1,0,6,Medlar,Penwright,HBRW509317HMRSJUQ,Dorothea,11/12/2023,QFXM901746ZF8,7470489422,22
52,,0,0,87,Clemont,Brookfield,BYTI573432HMIVSOG,Lucille,28/10/2023,HMUZ795998OL3,8926790275,18
53,,1,1,13,Swan,Alton,KWGM680023HMDKROQ,Bethany,10/09/2023,ZYPH085549GF6,3487380397,13
54,54,0,1,91,Valdes,Aulton,FQXM717856HMSDVBY,Zilvia,20/06/2023,RDHE007999JR9,8791317756,3
55,,0,0,45,Linneman,Fortesquieu,FZAK762603HMUTJSL,Raimund,08/09/2023,KHRA920901HS1,5048630221,17
56,56,0,1,52,Yakovlev,Levinge,NGBY884669HMMSZCW,Demetra,26/04/2024,UDDE285529VO3,6931803459,13
57,,0,0,69,Croyden,Pontefract,FVGL834977HMEHDXM,Efrem,12/08/2023,PBEL098790UK7,9743914753,6
58,58,1,0,84,Panichelli,Bonnyson,IXWB818290HMRRQXW,Karrie,14/01/2024,JBMJ784609QC7,2528299928,9
59,,1,0,35,Whittock,Cadalleder,DTVP279083HMWHVEH,Babs,04/08/2023,TIIK874060ZQ2,0873823610,29
60,,1,1,4,Marien,Coursor,GCTW870060HMZZQNI,Tailor,25/06/2023,LVGX524996TE8,0798414014,23
61,,1,1,44,MacGiffin,Dracksford,YJGJ214101HMVLBQS,Juliette,04/08/2023,IAZJ332084JB6,5158178905,27
62,,0,0,91,Haccleton,Andrieu,BXFJ350847HMUIMAY,Roarke,20/04/2024,JJPT252326LR7,9691493076,26
63,63,0,1,74,Lampe,Bullan,EPHL898868HMOJALE,Tam,02/12/2023,AAGE808250JZ5,3593169918,18
64,,0,1,70,Axell,Hilldrup,LTXM449009HMIHDZD,Gretal,13/08/2023,CETF786052ZI2,9817987331,23
65,,0,0,15,Penhale,O'Suaird,CRHZ347461HMUYKOS,Moll,10/03/2024,QCYJ437104GW1,2472608146,23
66,66,1,1,96,Goldspink,Bonaire,YNWS611717HMRXUHD,Madelina,26/07/2023,WLTU378864FJ3,6883971709,11
67,,0,0,67,Jeannel,Trahear,BAQT967233HMVAMMH,Michel,06/09/2023,WYWM603480TP5,5969557566,11
68,68,1,0,40,Hadwick,Boullen,UXRL800835HMVXNSL,Florance,29/04/2024,ZRMR987592IZ1,2627595208,9
69,,0,1,59,Ricca,Scrowson,CEQM603290HMUDUZP,Virgina,19/04/2024,WSXR117941DL9,9125575574,21
70,,1,1,15,Meiningen,Lemmanbie,UCCF706297HMTFLFQ,Baily,12/08/2023,ROAV742077PU8,9003208780,32
71,,0,0,39,Leckenby,Cecil,NPSW521716HMOTIJW,Renard,22/10/2023,BXRK168283KV0,5745069347,8
72,,0,1,31,Levane,Fellis,GUTO887852HMHVMSW,Ira,01/07/2023,NWDP760698XU1,6089954848,19
73,,0,1,7,Watt,McGraw,ZVTC339068HMECFJM,Moss,27/07/2023,FSLG842704AY9,1440853946,28
74,74,0,0,13,Krammer,Warriner,IEDV641195HMOQYNN,Berni,31/08/2023,QQPC986063NM9,4619731397,18
75,,0,1,6,Scotfurth,Douthwaite,SSOA317017HMXZKSI,Iain,24/12/2023,XXOD978350OH1,5669374310,5
76,,0,0,100,Hearfield,Rylstone,KPUE358301HMKKWUL,Ludwig,03/10/2023,RQZP586587KB0,9824520669,31
77,,0,1,29,Joscelyne,Rayhill,WWLI244207HMMCNGR,Sher,14/05/2024,YVCE698334IS3,5493196495,14
78,,1,1,30,Scarf,Spawforth,IWHO364288HMBWQNI,Geneva,15/02/2024,ZCVH293286UZ7,6827416050,15
79,79,1,1,86,Fabb,Aitken,CLUB546634HMIWNFC,Thane,28/07/2023,EZSZ332947CD0,0914452364,28
